iter	Passed	Remaining
0	13	13414
1	27	13535
2	38	12631
3	53	13296
4	67	13376
5	80	13347
6	97	13781
7	109	13531
8	119	13211
9	135	13448
10	150	13501
11	164	13550
12	181	13770
13	195	13746
14	215	14167
15	238	14643
16	267	15443
17	288	15749
18	313	16168
19	335	16423
20	349	16301
21	363	16138
22	377	16040
23	392	15955
24	405	15800
25	416	15617
26	428	15438
27	439	15257
28	451	15115
29	462	14952
30	475	14855
31	485	14683
32	496	14540
33	507	14405
34	521	14366
35	533	14285
36	551	14364
37	575	14574
38	595	14676
39	618	14840
40	639	14969
41	663	15144
42	690	15364
43	716	15561
44	737	15660
45	756	15689
46	768	15573
47	779	15450
48	789	15326
49	801	15228
50	821	15293
51	840	15331
52	861	15397
53	877	15372
54	889	15283
55	902	15212
56	915	15148
57	933	15157
58	946	15096
59	959	15038
60	972	14974
61	989	14968
62	1005	14954
63	1026	15005
64	1038	14938
65	1052	14892
66	1070	14910
67	1085	14882
68	1104	14897
69	1124	14943
70	1138	14901
71	1153	14866
72	1165	14801
73	1181	14778
74	1201	14819
75	1220	14836
76	1239	14856
77	1259	14884
78	1279	14911
79	1299	14938
80	1316	14934
81	1328	14872
82	1346	14874
83	1365	14893
84	1385	14910
85	1404	14929
86	1425	14957
87	1444	14975
88	1465	14999
89	1484	15009
90	1506	15050
91	1527	15073
92	1546	15085
93	1566	15093
94	1586	15112
95	1606	15127
96	1626	15137
97	1646	15155
98	1666	15164
99	1685	15171
100	1705	15183
101	1735	15281
102	1756	15296
103	1775	15298
104	1796	15311
105	1815	15314
106	1835	15322
107	1856	15329
108	1877	15350
109	1897	15353
110	1919	15376
111	1945	15427
112	1965	15428
113	1985	15428
114	2004	15425
115	2023	15420
116	2043	15424
117	2063	15420
118	2082	15418
119	2100	15404
120	2120	15407
121	2141	15408
122	2161	15409
123	2181	15409
124	2200	15404
125	2219	15394
126	2238	15388
127	2258	15387
128	2279	15394
129	2299	15389
130	2318	15382
131	2337	15373
132	2357	15371
133	2377	15367
134	2397	15360
135	2417	15355
136	2436	15346
137	2455	15335
138	2473	15321
139	2494	15321
140	2513	15313
141	2534	15311
142	2553	15301
143	2574	15306
144	2594	15300
145	2614	15291
146	2634	15285
147	2654	15282
148	2675	15280
149	2694	15269
150	2715	15267
151	2735	15263
152	2757	15264
153	2776	15250
154	2796	15242
155	2816	15240
156	2837	15234
157	2857	15225
158	2877	15217
159	2896	15206
160	2915	15193
161	2934	15180
162	2954	15173
163	2974	15164
164	2993	15150
165	3012	15136
166	3031	15123
167	3053	15119
168	3072	15110
169	3091	15095
170	3111	15084
171	3130	15071
172	3149	15056
173	3170	15049
174	3190	15038
175	3210	15030
176	3230	15018
177	3249	15005
178	3269	14994
179	3288	14982
180	3308	14970
181	3328	14959
182	3348	14950
183	3368	14940
184	3388	14928
185	3409	14922
186	3429	14911
187	3450	14901
188	3469	14888
189	3489	14876
190	3508	14860
191	3528	14849
192	3547	14833
193	3567	14823
194	3588	14812
195	3607	14796
196	3626	14782
197	3646	14771
198	3665	14756
199	3684	14739
200	3706	14733
201	3728	14728
202	3747	14712
203	3767	14700
204	3788	14690
205	3807	14677
206	3827	14663
207	3847	14649
208	3866	14634
209	3884	14614
210	3905	14602
211	3927	14600
212	3947	14586
213	3966	14570
214	3988	14561
215	4007	14546
216	4027	14531
217	4046	14513
218	4064	14496
219	4084	14480
220	4103	14464
221	4122	14446
222	4141	14428
223	4160	14413
224	4179	14397
225	4200	14385
226	4219	14368
227	4238	14352
228	4257	14334
229	4278	14322
230	4298	14310
231	4323	14311
232	4343	14297
233	4363	14285
234	4386	14279
235	4406	14264
236	4425	14248
237	4445	14233
238	4464	14216
239	4484	14199
240	4502	14181
241	4521	14163
242	4541	14148
243	4561	14132
244	4580	14115
245	4601	14102
246	4621	14088
247	4640	14070
248	4660	14055
249	4679	14037
250	4698	14021
251	4718	14006
252	4739	13993
253	4759	13978
254	4778	13961
255	4799	13948
256	4819	13933
257	4839	13917
258	4857	13898
259	4875	13877
260	4895	13861
261	4914	13843
262	4934	13827
263	4954	13812
264	4975	13798
265	4994	13781
266	5015	13768
267	5034	13751
268	5053	13731
269	5072	13715
270	5091	13697
271	5111	13680
272	5130	13662
273	5152	13652
274	5174	13642
275	5194	13625
276	5214	13609
277	5235	13597
278	5255	13580
279	5275	13564
280	5294	13548
281	5313	13528
282	5333	13512
283	5353	13497
284	5373	13481
285	5392	13462
286	5410	13442
287	5429	13423
288	5449	13407
289	5468	13389
290	5490	13377
291	5509	13358
292	5529	13342
293	5549	13326
294	5567	13305
295	5586	13287
296	5606	13271
297	5625	13250
298	5643	13232
299	5662	13212
300	5682	13196
301	5702	13180
302	5723	13165
303	5744	13151
304	5766	13140
305	5786	13122
306	5805	13104
307	5824	13085
308	5843	13066
309	5862	13049
310	5881	13031
311	5900	13011
312	5919	12993
313	5938	12974
314	5958	12957
315	5981	12947
316	6001	12929
317	6020	12911
318	6040	12894
319	6059	12875
320	6077	12855
321	6096	12836
322	6115	12817
323	6134	12798
324	6152	12778
325	6171	12759
326	6191	12743
327	6210	12723
328	6229	12704
329	6248	12686
330	6266	12666
331	6286	12648
332	6304	12628
333	6323	12609
334	6344	12593
335	6364	12578
336	6383	12559
337	6402	12540
338	6421	12520
339	6439	12501
340	6459	12483
341	6478	12465
342	6498	12447
343	6518	12430
344	6537	12412
345	6557	12393
346	6576	12376
347	6596	12359
348	6619	12346
349	6641	12334
350	6666	12326
351	6685	12308
352	6708	12296
353	6727	12276
354	6748	12260
355	6767	12241
356	6785	12221
357	6804	12202
358	6825	12186
359	6843	12166
360	6870	12161
361	6889	12141
362	6908	12122
363	6926	12102
364	6945	12082
365	6964	12065
366	6988	12054
367	7007	12034
368	7026	12015
369	7044	11995
370	7063	11976
371	7086	11963
372	7106	11945
373	7124	11925
374	7143	11906
375	7162	11886
376	7180	11866
377	7200	11848
378	7219	11830
379	7240	11813
380	7260	11795
381	7279	11777
382	7299	11759
383	7318	11740
384	7337	11721
385	7358	11704
386	7378	11687
387	7397	11668
388	7417	11650
389	7436	11631
390	7455	11611
391	7473	11591
392	7492	11572
393	7511	11553
394	7531	11535
395	7552	11518
396	7572	11502
397	7592	11483
398	7610	11463
399	7630	11445
400	7650	11428
401	7670	11410
402	7689	11391
403	7707	11370
404	7729	11356
405	7750	11338
406	7769	11320
407	7790	11303
408	7810	11286
409	7829	11266
410	7849	11248
411	7867	11228
412	7887	11210
413	7906	11191
414	7926	11173
415	7947	11156
416	7966	11137
417	7985	11118
418	8004	11099
419	8022	11079
420	8041	11060
421	8060	11040
422	8080	11022
423	8103	11008
424	8122	10989
425	8142	10970
426	8161	10951
427	8180	10932
428	8199	10913
429	8219	10895
430	8237	10874
431	8255	10854
432	8274	10835
433	8295	10818
434	8316	10801
435	8336	10783
436	8356	10766
437	8375	10746
438	8395	10728
439	8415	10710
440	8434	10690
441	8454	10672
442	8473	10653
443	8492	10635
444	8511	10615
